entrezgene	FC	pvalue
100522231	3.933580812	0.00045258
397177	3.832690415	4.48E-05
100653516	2.689213242	0.051075039
100158181	-2.277052005	0.000379458
110255236	1.628305151	0.001240745
397033	1.628305151	0.001240745
100156183	-2.541381344	0.037755289
100156204	2.146987345	3.89E-05
100519637	1.685258786	0.000204688
100519812	4.671348903	9.70E-05
100519994	3.009581809	0.00023568
100520287	1.36935807	0.04550482
100155388	1.410430364	0.067760523
100156590	1.273033354	0.05468523
100158178	15.31595623	0.004537277
100624103	2.137663114	0.004845794
100512030	-1.404161146	0.000869356
100513637	1.449588595	0.018323208
100154984	1.275582756	0.024559407
100515870	-1.4185127	0.003667907
100152008	1.132105872	0.078938969
100153351	1.749763142	0.000978437
100157387	2.206962418	0.003240388
100158201	3.79279917	0.014984739
100154961	1.858947294	0.003075877
100141309	-3.611991507	0.001321672
100520059	-1.589866198	0.043503946
100155635	-1.256782371	0.035720257
100522176	1.892878257	0.019816346
100153995	-2.445050366	0.084527443
100522721	2.452579826	0.003698895
100152267	13.66852386	1.21E-05
100520288	-1.650600748	0.058692301
100151836	2.711676769	0.002655414
100153310	-1.354513958	0.089093338
100516053	4.433997921	1.09E-06
100158127	1.463708764	0.007717159
414799	-1.228419622	0.017364343
100521354	1.795191969	0.02911436
100522054	2.29661704	1.81E-05
100153007	3.298359834	0.000838549
100524124	2.60640785	0.004204594
100513900	-6.587890777	0.000796088
100155833	-1.278560391	0.004460208
100154613	-1.287639852	0.028866983
100153401	-1.213924605	0.02951988
100153268	-1.436041183	0.062320189
100038029	-1.409432984	0.001131222
100517743	1.154688188	0.039435083
100520350	2.168669066	0.016834337
100155298	-1.539286482	0.001074477
100170119	-1.361732968	0.012387334
100523347	-1.222440719	0.037007808
100522415	1.444958069	0.087426534
100525849	-1.219772392	0.044125274
100157705	1.620035588	0.067414778
100153928	-1.420087013	0.001052016
100155917	-2.025595933	0.008290754
396952	1.825135203	0.001578314
100521173	-1.399129831	0.032076633
100521651	-2.814964618	0.006553287
100154557	-1.363828675	0.00143698
780425	-1.230357477	0.058396371
100152180	-1.530461236	0.006183071
100154555	-1.594603802	0.000434219
100192435	1.765690051	0.047575008
100154148	-1.18098419	0.029144618
100517989	-1.868059869	4.60E-05
100113425	1.885317337	0.005035894
100152808	-2.282036811	0.000250366
100038033	-2.272663344	0.009755024
100511173	-6.611148446	0.000101375
100153219	1.217634808	0.092877472
100152785	1.925598985	0.011978572
100738389	1.398170934	0.00613604
100153985	2.542076254	0.005325457
100738730	2.012157553	6.51E-05
100521309	-1.451144721	0.044543428
100523040	-1.634661041	0.001790195
396729	1.893213001	0.002386494
100517627	5.35793628	0.005342163
100524063	1.532233716	0.057026243
100038023	-1.673116788	4.79E-05
100153321	1.198317373	0.029583648
100154767	-2.450273602	0.00145731
100157597	-1.586098642	0.00014508
100156386	-1.625573391	0.004685644
100518643	-1.875300139	0.017278103
100520352	-1.297209513	0.023192106
100155278	1.347599436	0.041118505
397201	1.43241649	0.006224301
397003	2.712652917	0.005521744
100152831	-1.323765571	0.026343814
733630	1.726815858	0.068299027
100511977	1.281590233	0.055089537
100516949	1.980813987	0.010884368
397066	-1.178249711	0.043025522
100048958	2.181390907	0.016624008
100154982	-1.241104874	0.083773836
397524	1.310005339	0.030724038
100624931	2.111734588	0.003175074
100624832	1.303250582	0.024248895
100621404	1.769695135	6.09E-05
100038011	-1.778203971	0.017439092
100153992	1.736709339	0.001401596
100151987	-2.318464626	0.0015033
396693	2.671490443	6.07E-06
100157220	1.376344969	0.006861553
100142689	1.555871155	5.64E-05
100155655	1.406187606	0.000564773
100154802	1.462274679	0.000539296
100512698	1.215098576	0.07687495
100519814	-1.507468303	0.001603783
100519998	-5.262001418	0.000377696
100156445	-1.357664268	0.013779928
100511910	-2.199483541	0.065662151
100152629	1.982212836	0.097655609
100113423	1.943383265	0.000730688
102166244	-4.984430757	0.009529651
100513775	-4.984430757	0.009529651
100154081	-1.532861503	0.001423634
100739365	-1.532861503	0.001423634
100157586	-1.250732642	0.037911827
100512390	1.437630094	0.053087833
100155613	1.849571676	0.099246883
100155587	-1.993289511	8.06E-05
399541	2.042062817	0.000774009
100156643	-3.339084851	0.012235957
396733	1.305156544	0.015989841
100515005	-1.35126118	0.007589033
397541	1.64381937	0.009829329
102161885	1.536724691	0.053073671
100514624	-1.443461178	0.013608102
100037992	-1.254600142	0.015990034
100154062	-1.580443576	0.016205579
100515524	1.621963804	0.000816406
407060	3.325852985	7.70E-05
100157921	1.928265342	0.007099649
100125551	-1.62322931	0.066108402
100153924	1.514114433	0.084976198
100517927	3.202615319	0.001064044
396676	1.941331851	0.016978949
100153501	21.56283132	0.012307724
100153921	-2.232373953	0.006553287
100152721	1.75047522	0.000237224
100155567	3.21371381	0.000198907
